Hypothesis,Reference
"Правительства , которые сталкиваются с большими расходами , должны разработать целевые системы социальной защиты , которые защищают своих бедных людей посредством денежных и денежных переводов .",П
"Нашей работой в развитии , сохранении мира , охране окружающей среды и здоровье , мы странам и сообществам строить лучшее , более будущее .",Н
"Поскольку люди из страны могут продолжать держать евро , оставляя ЕВС не приведет к потере существующего благосостояния .",П
", что эти холодной войны устарели как инструменты безопасности – и , действительно , они вызывают нестабильность – исходит от разнообразных рядов голосов .",П
"У нас может быть понимание того , что компании , за этими , выполняют наши данные ; но помимо маркетинга , реальные люди , которые управляют этими организациями , и .",М
"Если Обама передаст оба договора в в 2010 году , ему нужно будет убедить общественность в том , что они служат интегрированной стратегии по усилению национальной и международной безопасности .",Е
"Так , изначально кризисом , режим согласился с 1 октября в Женеве , который позволил бы обогащение урана Ирана за пределами страны .",Т
"Фактически , валюты стран с положительным торговым балансом , в которых очень большие обменные курсы , фактически в реальном исчислении с лета , создавая инфляционное давление и глобальное регулирование .",П
Каждая кампания отчаянно пытается измерить воздействие финансового кризиса на эти государства .,К
"Но ценность других – таких как широкий спектр животных , которым они поддерживают , и их ценность для людей – гораздо сложнее поддаются оценке .",О
Индии в Индии с Индии в Индии,Т
"В действительности , самая популярная тактика среди либералов в настоящее время заключается в объединении со всеми противниками режима .",Д
"Если международное соглашение схемы ограничения и торговли квотами на выбросы в Копенгагене , страны также должны согласиться , что не будет пытаться ввести компенсационные тарифы , которые в конечном итоге поставят под угрозу нашу глобальную систему свободной торговли .",Е
Третья проблема касается международной ликвидности .,Т
"Нам необходимы мужество такого рода , которое было отличительной чертой Маргарет Тэтчер .",Н
"Действительно , возможно , ни один другой аспект экономической глобализации не поставит перед собой более серьезные проблемы для мировых лидеров в течение грядущих десятилетий .",Д
"избирательная программа левого толка предлагает снизить ставки налога на заработную плату на пять процентов , но не ясно , где для этого потребуется 10 миллиардов евро .",О
"Вместо этого , теория признаёт , что « цены на активы меняются более , чем обоснованные ожидания будущих потоков наличных денег ».",В
"ВАШИНГТОН , ОКРУГ КОЛУМБИЯ . Если бы Шарон никогда не вошел в политику , он все еще знал во всем мире как и .",В
Сегодня уже известны преступления режима Саддама Хусейна против тысяч иракцев .,С
"Так что права собственности полагаются на суды и принуждение к соблюдению законов , а рынки зависят от регуляторов для того , чтобы сдерживать злоупотребления и устранить неудачи рынка .",Т
